"","ID","unidade","desenvolvimento"
"1","Obs1","UFAL A.C. Simões",2
"2","Obs2","UFAL A.C. Simões",3.66666666666667
"3","Obs3","UFAL A.C. Simões",2.66666666666667
"4","Obs4","UFAL A.C. Simões",4.33333333333333
"5","Obs5","UFAL Arapiraca",2.66666666666667
"6","Obs6","UFAL Arapiraca",2
"7","Obs7","UFAL A.C. Simões",2.66666666666667
"8","Obs8","UFAL A.C. Simões",3.33333333333333
"9","Obs9","UFAL A.C. Simões",2.33333333333333
"10","Obs10","UFAL A.C. Simões",1
"11","Obs11","UFAL A.C. Simões",3
"12","Obs12","UFAL A.C. Simões",3
"13","Obs13","UFAL A.C. Simões",4
"14","Obs14","UFAL A.C. Simões",2.66666666666667
"15","Obs15","UFAL A.C. Simões",4
"16","Obs16","UFAL A.C. Simões",3.33333333333333
"17","Obs17","UFAL A.C. Simões",4
"18","Obs18","UFAL Arapiraca",1.66666666666667
"19","Obs19","UFAL A.C. Simões",1.66666666666667
"20","Obs20","UFAL A.C. Simões",3.66666666666667
"21","Obs21","UFAL A.C. Simões",2
"22","Obs22","UFAL A.C. Simões",3
"23","Obs23","UFAL A.C. Simões",2
"24","Obs24","UFAL Arapiraca",2.66666666666667
"25","Obs25","UFAL A.C. Simões",2
"26","Obs26","UFAL A.C. Simões",2.33333333333333
"27","Obs27","UFAL A.C. Simões",2
"28","Obs28","UFAL A.C. Simões",4
"29","Obs29","UFAL A.C. Simões",2.66666666666667
"30","Obs30","UFAL A.C. Simões",2.66666666666667
"31","Obs31","UFAL A.C. Simões",2.66666666666667
"32","Obs32","UFAL A.C. Simões",1.66666666666667
"33","Obs33","UFAL A.C. Simões",3.33333333333333
"34","Obs34","UFAL A.C. Simões",2.33333333333333
"35","Obs35","UFAL A.C. Simões",2.66666666666667
"36","Obs36","UFAL A.C. Simões",3.33333333333333
"37","Obs37","UFAL A.C. Simões",3.33333333333333
"38","Obs38","UFAL A.C. Simões",3.66666666666667
"39","Obs39","UFAL A.C. Simões",4
"40","Obs40","UFAL A.C. Simões",3.66666666666667
"41","Obs41","UFAL A.C. Simões",2.66666666666667
"42","Obs42","UFAL A.C. Simões",2
"43","Obs43","UFAL Arapiraca",4
"44","Obs44","UFAL Arapiraca",3.33333333333333
"45","Obs45","UFAL A.C. Simões",3.66666666666667
"46","Obs46","UFAL A.C. Simões",3.33333333333333
"47","Obs47","UFAL CECA",2.33333333333333
"48","Obs48","UFAL Arapiraca",3.33333333333333
"49","Obs49","UFAL A.C. Simões",1
"50","Obs50","UFAL A.C. Simões",1.66666666666667
"51","Obs51","UFAL A.C. Simões",1.33333333333333
"52","Obs52","UFAL A.C. Simões",1.66666666666667
"53","Obs53","UFAL Arapiraca",3
"54","Obs54","UFAL A.C. Simões",3.66666666666667
"55","Obs55","UFAL Arapiraca",2.66666666666667
"56","Obs56","UFAL A.C. Simões",2.66666666666667
"57","Obs57","UFAL A.C. Simões",2.33333333333333
"58","Obs59","UFAL A.C. Simões",1.33333333333333
"59","Obs60","UFAL A.C. Simões",3
"60","Obs61","UFAL A.C. Simões",2
"61","Obs62","UFAL A.C. Simões",3.33333333333333
"62","Obs63","UFAL Arapiraca",2
"63","Obs64","UFAL A.C. Simões",1
"64","Obs65","UFAL A.C. Simões",2.33333333333333
"65","Obs66","UFAL A.C. Simões",4.33333333333333
"66","Obs67","UFAL Arapiraca",3.33333333333333
"67","Obs68","UFAL A.C. Simões",3
"68","Obs69","UFAL CECA",3.66666666666667
"69","Obs70","UFAL A.C. Simões",3.33333333333333
"70","Obs71","UFAL A.C. Simões",1.66666666666667
"71","Obs72","UFAL A.C. Simões",1.66666666666667
"72","Obs73","UFAL A.C. Simões",2.33333333333333
"73","Obs74","UFAL A.C. Simões",2
"74","Obs75","UFAL A.C. Simões",2
"75","Obs76","UFAL A.C. Simões",3
"76","Obs77","UFAL A.C. Simões",3
"77","Obs78","UFAL A.C. Simões",3.33333333333333
"78","Obs79","UFAL Arapiraca",2.33333333333333
"79","Obs80","UFAL A.C. Simões",2.33333333333333
"80","Obs81","UFAL Arapiraca",2.33333333333333
"81","Obs82","UFAL A.C. Simões",3
"82","Obs83","UFAL A.C. Simões",1.33333333333333
"83","Obs86","UFAL Arapiraca",3.66666666666667
"84","Obs87","UFAL A.C. Simões",2
"85","Obs88","UFAL A.C. Simões",3
"86","Obs89","UFAL A.C. Simões",2.33333333333333
"87","Obs90","UFAL A.C. Simões",3
"88","Obs91","UFAL A.C. Simões",2.33333333333333
"89","Obs92","UFAL Arapiraca",1.66666666666667
"90","Obs93","UFAL Arapiraca",2
"91","Obs94","UFAL A.C. Simões",2
"92","Obs95","UFAL A.C. Simões",3.66666666666667
"93","Obs96","UFAL A.C. Simões",3
"94","Obs97","UFAL Arapiraca",3
"95","Obs98","UFAL A.C. Simões",3.66666666666667
"96","Obs99","UFAL A.C. Simões",1.66666666666667
"97","Obs100","UFAL Arapiraca",2.66666666666667
"98","Obs101","UFAL A.C. Simões",2
"99","Obs102","UFAL Arapiraca",2.66666666666667
"100","Obs103","UFAL Arapiraca",2.66666666666667
"101","Obs104","UFAL A.C. Simões",1.33333333333333
"102","Obs105","UFAL A.C. Simões",2.66666666666667
"103","Obs106","UFAL A.C. Simões",3.66666666666667
"104","Obs107","UFAL A.C. Simões",3.33333333333333
"105","Obs108","UFAL A.C. Simões",3.33333333333333
"106","Obs109","UFAL A.C. Simões",3.33333333333333
"107","Obs110","UFAL Arapiraca",1.33333333333333
"108","Obs111","UFAL CECA",2.33333333333333
"109","Obs112","UFAL A.C. Simões",1.66666666666667
"110","Obs113","UFAL A.C. Simões",2
"111","Obs114","UFAL A.C. Simões",3
"112","Obs115","UFAL A.C. Simões",3
"113","Obs116","UFAL Arapiraca",1.66666666666667
"114","Obs117","UFAL A.C. Simões",3.33333333333333
"115","Obs118","UFAL A.C. Simões",3
"116","Obs119","UFAL A.C. Simões",1.33333333333333
"117","Obs120","UFAL A.C. Simões",2.66666666666667
"118","Obs121","UFAL A.C. Simões",2
"119","Obs122","UFAL A.C. Simões",2.66666666666667
"120","Obs123","UFAL A.C. Simões",3
"121","Obs124","UFAL Arapiraca",1.66666666666667
"122","Obs125","UFAL A.C. Simões",3.66666666666667
"123","Obs126","UFAL Arapiraca",3.66666666666667
"124","Obs127","UFAL A.C. Simões",3
"125","Obs128","UFAL A.C. Simões",2.33333333333333
"126","Obs129","UFAL A.C. Simões",4
"127","Obs131","UFAL A.C. Simões",3.66666666666667
"128","Obs132","UFAL A.C. Simões",2.66666666666667
"129","Obs133","UFAL A.C. Simões",1.33333333333333
"130","Obs134","UFAL A.C. Simões",2.66666666666667
"131","Obs135","UFAL CECA",3
"132","Obs136","UFAL A.C. Simões",3.33333333333333
"133","Obs137","UFAL A.C. Simões",2.66666666666667
"134","Obs138","UFAL A.C. Simões",3
"135","Obs139","UFAL A.C. Simões",3.33333333333333
"136","Obs140","UFAL Arapiraca",1.33333333333333
"137","Obs141","UFAL A.C. Simões",3
"138","Obs142","UFAL A.C. Simões",3.33333333333333
"139","Obs143","UFAL A.C. Simões",2
"140","Obs144","UFAL A.C. Simões",2.66666666666667
"141","Obs145","UFAL A.C. Simões",4
"142","Obs146","UFAL A.C. Simões",2.33333333333333
"143","Obs147","UFAL A.C. Simões",2
"144","Obs148","UFAL A.C. Simões",1.66666666666667
"145","Obs149","UFAL A.C. Simões",2.33333333333333
"146","Obs150","UFAL A.C. Simões",1.66666666666667
"147","Obs151","UFAL A.C. Simões",1
"148","Obs152","UFAL A.C. Simões",2.33333333333333
"149","Obs153","UFAL Arapiraca",2.33333333333333
"150","Obs154","UFAL Arapiraca",2.33333333333333
"151","Obs155","UFAL CECA",3
"152","Obs156","UFAL A.C. Simões",3.33333333333333
"153","Obs157","UFAL A.C. Simões",2.33333333333333
"154","Obs158","UFAL A.C. Simões",4.33333333333333
"155","Obs159","UFAL A.C. Simões",3
"156","Obs160","UFAL CECA",3.33333333333333
"157","Obs161","UFAL Arapiraca",3
"158","Obs162","UFAL A.C. Simões",3
"159","Obs163","UFAL Arapiraca",3
"160","Obs164","UFAL Arapiraca",2
"161","Obs165","UFAL Arapiraca",3.66666666666667
"162","Obs166","UFAL CECA",4.33333333333333
"163","Obs167","UFAL A.C. Simões",2.33333333333333
"164","Obs168","UFAL Arapiraca",3
"165","Obs169","UFAL A.C. Simões",3
"166","Obs170","UFAL A.C. Simões",1.33333333333333
"167","Obs171","UFAL A.C. Simões",2
"168","Obs172","UFAL Arapiraca",2
"169","Obs173","UFAL A.C. Simões",4.33333333333333
"170","Obs174","UFAL A.C. Simões",3
"171","Obs175","UFAL A.C. Simões",2
"172","Obs176","UFAL A.C. Simões",1
"173","Obs177","UFAL CECA",1.33333333333333
"174","Obs178","UFAL A.C. Simões",3
"175","Obs179","UFAL Arapiraca",2
"176","Obs180","UFAL A.C. Simões",1.33333333333333
"177","Obs181","UFAL A.C. Simões",2
"178","Obs182","UFAL A.C. Simões",3.33333333333333
"179","Obs183","UFAL A.C. Simões",3.33333333333333
"180","Obs184","UFAL A.C. Simões",1.33333333333333
"181","Obs185","UFAL A.C. Simões",2.66666666666667
"182","Obs186","UFAL CECA",3.66666666666667
"183","Obs187","UFAL A.C. Simões",3
"184","Obs188","UFAL A.C. Simões",4.33333333333333
"185","Obs189","UFAL A.C. Simões",1.66666666666667
"186","Obs190","UFAL A.C. Simões",1.66666666666667
"187","Obs191","UFAL Arapiraca",1.33333333333333
"188","Obs193","UFAL Arapiraca",3.33333333333333
"189","Obs194","UFAL A.C. Simões",3.33333333333333
"190","Obs195","UFAL CECA",1.66666666666667
"191","Obs196","UFAL Arapiraca",2.66666666666667
"192","Obs197","UFAL CECA",3.33333333333333
"193","Obs198","UFAL A.C. Simões",3
"194","Obs199","UFAL CECA",2.66666666666667
"195","Obs200","UFAL A.C. Simões",1.66666666666667
"196","Obs201","UFAL A.C. Simões",3
"197","Obs202","UFAL Arapiraca",2
"198","Obs203","UFAL A.C. Simões",3.66666666666667
"199","Obs204","UFAL Arapiraca",2.33333333333333
"200","Obs205","UFAL A.C. Simões",4
"201","Obs206","UFAL CECA",2.66666666666667
"202","Obs207","UFAL Arapiraca",2.66666666666667
"203","Obs208","UFAL A.C. Simões",3.33333333333333
"204","Obs209","UFAL A.C. Simões",3
"205","Obs210","UFAL A.C. Simões",1.33333333333333
"206","Obs211","UFAL CECA",3
"207","Obs212","UFAL A.C. Simões",2.66666666666667
"208","Obs213","UFAL A.C. Simões",3
"209","Obs214","UFAL A.C. Simões",2
"210","Obs215","UFAL A.C. Simões",3.33333333333333
"211","Obs216","UFAL A.C. Simões",1.66666666666667
"212","Obs217","UFAL A.C. Simões",3.66666666666667
"213","Obs218","UFAL A.C. Simões",3.33333333333333
"214","Obs219","UFAL A.C. Simões",4
"215","Obs220","UFAL Arapiraca",3.66666666666667
"216","Obs221","UFAL A.C. Simões",2.66666666666667
"217","Obs222","UFAL A.C. Simões",4.33333333333333
"218","Obs223","UFAL A.C. Simões",1.33333333333333
"219","Obs224","UFAL A.C. Simões",3
"220","Obs225","UFAL CECA",2.33333333333333
"221","Obs226","UFAL A.C. Simões",2
"222","Obs227","UFAL A.C. Simões",3
"223","Obs228","UFAL A.C. Simões",3
"224","Obs229","UFAL A.C. Simões",3
"225","Obs230","UFAL A.C. Simões",4.33333333333333
"226","Obs231","UFAL A.C. Simões",4
"227","Obs232","UFAL A.C. Simões",3
"228","Obs233","UFAL A.C. Simões",4
"229","Obs234","UFAL A.C. Simões",2
"230","Obs235","UFAL A.C. Simões",1
"231","Obs236","UFAL A.C. Simões",2
"232","Obs237","UFAL A.C. Simões",2.33333333333333
"233","Obs238","UFAL A.C. Simões",1.66666666666667
"234","Obs239","UFAL CECA",1
"235","Obs240","UFAL A.C. Simões",3.33333333333333
"236","Obs241","UFAL A.C. Simões",4.33333333333333
"237","Obs242","UFAL A.C. Simões",3
"238","Obs243","UFAL A.C. Simões",3.33333333333333
"239","Obs244","UFAL A.C. Simões",1.33333333333333
"240","Obs245","UFAL A.C. Simões",4
"241","Obs246","UFAL A.C. Simões",3
"242","Obs247","UFAL A.C. Simões",1.66666666666667
"243","Obs248","UFAL A.C. Simões",2.33333333333333
"244","Obs249","UFAL A.C. Simões",2.33333333333333
"245","Obs250","UFAL A.C. Simões",3.66666666666667
"246","Obs251","UFAL A.C. Simões",3.33333333333333
"247","Obs252","UFAL A.C. Simões",3
"248","Obs254","UFAL Arapiraca",4.33333333333333
"249","Obs255","UFAL A.C. Simões",4
"250","Obs256","UFAL A.C. Simões",2
"251","Obs257","UFAL A.C. Simões",2.66666666666667
"252","Obs258","UFAL A.C. Simões",3
"253","Obs259","UFAL A.C. Simões",2.33333333333333
"254","Obs260","UFAL A.C. Simões",2.33333333333333
"255","Obs261","UFAL A.C. Simões",3
"256","Obs262","UFAL A.C. Simões",2.66666666666667
"257","Obs263","UFAL A.C. Simões",2.33333333333333
"258","Obs265","UFAL A.C. Simões",2
"259","Obs266","UFAL A.C. Simões",2.66666666666667
"260","Obs267","UFAL A.C. Simões",2.33333333333333
"261","Obs268","UFAL Arapiraca",2.33333333333333
"262","Obs269","UFAL Arapiraca",4.33333333333333
"263","Obs270","UFAL Arapiraca",1.66666666666667
"264","Obs271","UFAL CECA",3
"265","Obs272","UFAL A.C. Simões",3.33333333333333
"266","Obs273","UFAL A.C. Simões",3.66666666666667
"267","Obs274","UFAL A.C. Simões",4.33333333333333
"268","Obs275","UFAL A.C. Simões",2.33333333333333
"269","Obs276","UFAL Arapiraca",3.66666666666667
"270","Obs277","UFAL A.C. Simões",2.66666666666667
"271","Obs278","UFAL CECA",4.66666666666667
"272","Obs279","UFAL CECA",2.33333333333333
"273","Obs280","UFAL A.C. Simões",1.66666666666667
"274","Obs281","UFAL A.C. Simões",1.33333333333333
"275","Obs282","UFAL A.C. Simões",3.66666666666667
"276","Obs283","UFAL A.C. Simões",3.33333333333333
"277","Obs284","UFAL CECA",1.66666666666667
"278","Obs285","UFAL A.C. Simões",2
"279","Obs286","UFAL A.C. Simões",2.33333333333333
"280","Obs287","UFAL A.C. Simões",4
"281","Obs288","UFAL A.C. Simões",1.33333333333333
"282","Obs289","UFAL A.C. Simões",2
"283","Obs290","UFAL A.C. Simões",1.66666666666667
"284","Obs291","UFAL CECA",2.66666666666667
"285","Obs292","UFAL Arapiraca",1.66666666666667
"286","Obs293","UFAL A.C. Simões",2
"287","Obs294","UFAL A.C. Simões",2.66666666666667
"288","Obs295","UFAL Arapiraca",3.66666666666667
"289","Obs296","UFAL A.C. Simões",3
"290","Obs297","UFAL Arapiraca",2.66666666666667
"291","Obs298","UFAL A.C. Simões",3
"292","Obs299","UFAL A.C. Simões",2.66666666666667
"293","Obs300","UFAL A.C. Simões",2
"294","Obs302","UFAL A.C. Simões",3.33333333333333
"295","Obs303","UFAL CECA",2
"296","Obs304","UFAL A.C. Simões",2.33333333333333
"297","Obs305","UFAL CECA",1.33333333333333
"298","Obs306","UFAL A.C. Simões",3.33333333333333
"299","Obs307","UFAL A.C. Simões",1.66666666666667
"300","Obs308","UFAL Arapiraca",2.66666666666667
"301","Obs309","UFAL Arapiraca",1
"302","Obs310","UFAL A.C. Simões",3.33333333333333
"303","Obs311","UFAL A.C. Simões",2
"304","Obs312","UFAL A.C. Simões",2.66666666666667
"305","Obs313","UFAL Arapiraca",3
"306","Obs315","UFAL A.C. Simões",2.66666666666667
"307","Obs316","UFAL Arapiraca",1.66666666666667
"308","Obs317","UFAL CECA",3.66666666666667
"309","Obs318","UFAL A.C. Simões",2
"310","Obs319","UFAL A.C. Simões",3
"311","Obs320","UFAL A.C. Simões",2.33333333333333
"312","Obs322","UFAL Arapiraca",5
"313","Obs323","UFAL A.C. Simões",1.66666666666667
"314","Obs324","UFAL A.C. Simões",2.33333333333333
"315","Obs325","UFAL A.C. Simões",3.33333333333333
"316","Obs326","UFAL A.C. Simões",2.66666666666667
"317","Obs327","UFAL A.C. Simões",2.33333333333333
"318","Obs328","UFAL Arapiraca",1.66666666666667
"319","Obs329","UFAL A.C. Simões",1.66666666666667
"320","Obs330","UFAL A.C. Simões",3
