unidade,etapa.de.ensino,area.de.conhecimento,formacao.continuada,n,all.factor,all.raw_alpha,all.std.alpha,all.G6(smc),all.average_r,all.S/N,all.ase,all.mean,all.sd,all.median_r,ML1.factor,ML1.raw_alpha,ML1.std.alpha,ML1.G6(smc),ML1.average_r,ML1.S/N,ML1.ase,ML1.mean,ML1.sd,ML1.median_r,ML2.factor,ML2.raw_alpha,ML2.std.alpha,ML2.G6(smc),ML2.average_r,ML2.S/N,ML2.ase,ML2.mean,ML2.sd,ML2.median_r,ML3.factor,ML3.raw_alpha,ML3.std.alpha,ML3.G6(smc),ML3.average_r,ML3.S/N,ML3.ase,ML3.mean,ML3.sd,ML3.median_r
NA,NA,NA,NA,330,all,0.88,0.88,0.89,0.37,7.64,0.01,2.44,0.7,0.35,ML1,0.83,0.83,0.79,0.55,4.94,0.02,2.18,0.96,0.56,ML2,0.79,0.8,0.8,0.4,4.03,0.02,2.48,0.73,0.47,ML3,0.69,0.69,0.61,0.43,2.27,0.03,2.69,0.84,0.4
UFAL A.C. Simões,NA,NA,NA,241,all,0.88,0.88,0.89,0.36,7.42,0.01,2.45,0.7,0.35,ML1,0.84,0.84,0.81,0.57,5.31,0.02,2.2,0.97,0.6,ML2,0.78,0.79,0.78,0.39,3.76,0.02,2.5,0.73,0.44,ML3,0.68,0.68,0.59,0.42,2.14,0.03,2.69,0.83,0.42
UFAL Arapiraca,NA,NA,NA,55,all,0.89,0.89,0.93,0.39,8.33,0.02,2.27,0.69,0.39,ML1,0.82,0.82,0.82,0.53,4.57,0.04,1.95,0.9,0.6,ML2,0.84,0.85,0.87,0.48,5.5,0.03,2.3,0.72,0.47,ML3,0.66,0.66,0.59,0.39,1.9,0.08,2.62,0.87,0.35
NA,Ensino Superior,NA,NA,324,all,0.88,0.88,0.89,0.37,7.56,0.01,2.43,0.7,0.35,ML1,0.83,0.83,0.79,0.55,4.81,0.02,2.17,0.95,0.55,ML2,0.79,0.8,0.8,0.4,4.03,0.02,2.47,0.73,0.47,ML3,0.7,0.7,0.61,0.44,2.33,0.03,2.68,0.85,0.41
UFAL A.C. Simões,Ensino Superior,NA,NA,235,all,0.88,0.88,0.89,0.36,7.32,0.01,2.44,0.69,0.36,ML1,0.83,0.84,0.8,0.56,5.14,0.02,2.18,0.95,0.59,ML2,0.78,0.79,0.78,0.38,3.74,0.02,2.49,0.72,0.44,ML3,0.69,0.69,0.6,0.43,2.23,0.03,2.68,0.83,0.43
UFAL Arapiraca,Ensino Superior,NA,NA,55,all,0.89,0.89,0.93,0.39,8.33,0.02,2.27,0.69,0.39,ML1,0.82,0.82,0.82,0.53,4.57,0.04,1.95,0.9,0.6,ML2,0.84,0.85,0.87,0.48,5.5,0.03,2.3,0.72,0.47,ML3,0.66,0.66,0.59,0.39,1.9,0.08,2.62,0.87,0.35
NA,NA,Ciências Exatas e da Terra,NA,48,all,0.87,0.88,0.92,0.35,7.11,0.03,2.44,0.7,0.35,ML1,0.8,0.79,0.77,0.49,3.88,0.05,2.24,0.89,0.47,ML2,0.77,0.78,0.79,0.37,3.46,0.05,2.5,0.74,0.34,ML3,0.69,0.7,0.61,0.43,2.29,0.07,2.57,0.89,0.43
UFAL A.C. Simões,NA,Ciências Exatas e da Terra,NA,37,all,0.87,0.88,0.93,0.35,7.11,0.03,2.35,0.7,0.35,ML1,0.81,0.81,0.82,0.52,4.3,0.05,2.19,0.9,0.55,ML2,0.77,0.79,0.82,0.38,3.73,0.06,2.42,0.76,0.41,ML3,0.56,0.56,0.47,0.3,1.26,0.12,2.41,0.8,0.28
NA,Ensino Superior,Ciências Exatas e da Terra,NA,48,all,0.87,0.88,0.92,0.35,7.11,0.03,2.44,0.7,0.35,ML1,0.8,0.79,0.77,0.49,3.88,0.05,2.24,0.89,0.47,ML2,0.77,0.78,0.79,0.37,3.46,0.05,2.5,0.74,0.34,ML3,0.69,0.7,0.61,0.43,2.29,0.07,2.57,0.89,0.43
UFAL A.C. Simões,Ensino Superior,Ciências Exatas e da Terra,NA,37,all,0.87,0.88,0.93,0.35,7.11,0.03,2.35,0.7,0.35,ML1,0.81,0.81,0.82,0.52,4.3,0.05,2.19,0.9,0.55,ML2,0.77,0.79,0.82,0.38,3.73,0.06,2.42,0.76,0.41,ML3,0.56,0.56,0.47,0.3,1.26,0.12,2.41,0.8,0.28
NA,NA,Ciências Sociais Aplicadas,NA,53,all,0.87,0.86,0.91,0.33,6.31,0.03,2.45,0.67,0.34,ML1,0.85,0.85,0.83,0.58,5.62,0.03,2.32,1.04,0.57,ML2,0.75,0.76,0.76,0.34,3.13,0.05,2.43,0.64,0.38,ML3,0.73,0.72,0.64,0.47,2.63,0.07,2.65,0.87,0.49
UFAL A.C. Simões,NA,Ciências Sociais Aplicadas,NA,43,all,0.88,0.88,0.93,0.37,7.49,0.02,2.48,0.7,0.36,ML1,0.86,0.86,0.85,0.61,6.38,0.04,2.38,1.07,0.64,ML2,0.73,0.75,0.76,0.34,3.04,0.06,2.45,0.62,0.35,ML3,0.76,0.76,0.68,0.51,3.16,0.06,2.68,0.87,0.52
NA,Ensino Superior,Ciências Sociais Aplicadas,NA,53,all,0.87,0.86,0.91,0.33,6.31,0.03,2.45,0.67,0.34,ML1,0.85,0.85,0.83,0.58,5.62,0.03,2.32,1.04,0.57,ML2,0.75,0.76,0.76,0.34,3.13,0.05,2.43,0.64,0.38,ML3,0.73,0.72,0.64,0.47,2.63,0.07,2.65,0.87,0.49
UFAL A.C. Simões,Ensino Superior,Ciências Sociais Aplicadas,NA,43,all,0.88,0.88,0.93,0.37,7.49,0.02,2.48,0.7,0.36,ML1,0.86,0.86,0.85,0.61,6.38,0.04,2.38,1.07,0.64,ML2,0.73,0.75,0.76,0.34,3.04,0.06,2.45,0.62,0.35,ML3,0.76,0.76,0.68,0.51,3.16,0.06,2.68,0.87,0.52
NA,NA,Ciências Humanas,NA,45,all,0.9,0.9,0.93,0.42,9.46,0.02,2.54,0.77,0.43,ML1,0.85,0.85,0.82,0.59,5.73,0.04,2.35,1.03,0.58,ML2,0.81,0.82,0.84,0.43,4.57,0.04,2.61,0.78,0.46,ML3,0.66,0.66,0.61,0.39,1.92,0.08,2.66,0.81,0.47
UFAL A.C. Simões,NA,Ciências Humanas,NA,37,all,0.89,0.9,0.93,0.4,8.6,0.03,2.52,0.74,0.41,ML1,0.85,0.86,0.83,0.6,5.93,0.04,2.3,1.02,0.6,ML2,0.78,0.8,0.82,0.39,3.9,0.06,2.59,0.76,0.41,ML3,0.64,0.65,0.6,0.38,1.83,0.1,2.68,0.81,0.46
NA,Ensino Superior,Ciências Humanas,NA,45,all,0.9,0.9,0.93,0.42,9.46,0.02,2.54,0.77,0.43,ML1,0.85,0.85,0.82,0.59,5.73,0.04,2.35,1.03,0.58,ML2,0.81,0.82,0.84,0.43,4.57,0.04,2.61,0.78,0.46,ML3,0.66,0.66,0.61,0.39,1.92,0.08,2.66,0.81,0.47
UFAL A.C. Simões,Ensino Superior,Ciências Humanas,NA,37,all,0.89,0.9,0.93,0.4,8.6,0.03,2.52,0.74,0.41,ML1,0.85,0.86,0.83,0.6,5.93,0.04,2.3,1.02,0.6,ML2,0.78,0.8,0.82,0.39,3.9,0.06,2.59,0.76,0.41,ML3,0.64,0.65,0.6,0.38,1.83,0.1,2.68,0.81,0.46
NA,NA,Linguística.Letras e Artes,NA,32,all,0.87,0.87,0.94,0.35,6.88,0.03,2.74,0.7,0.36,ML1,0.85,0.85,0.82,0.59,5.72,0.04,2.4,1.01,0.58,ML2,0.8,0.8,0.82,0.4,4.06,0.05,2.85,0.75,0.39,ML3,0.78,0.78,0.71,0.55,3.63,0.07,2.99,0.91,0.53
NA,Ensino Superior,Linguística.Letras e Artes,NA,32,all,0.87,0.87,0.94,0.35,6.88,0.03,2.74,0.7,0.36,ML1,0.85,0.85,0.82,0.59,5.72,0.04,2.4,1.01,0.58,ML2,0.8,0.8,0.82,0.4,4.06,0.05,2.85,0.75,0.39,ML3,0.78,0.78,0.71,0.55,3.63,0.07,2.99,0.91,0.53
NA,NA,Engenharias,NA,31,all,0.85,0.85,0.92,0.31,5.75,0.04,2.3,0.6,0.29,ML1,0.79,0.79,0.8,0.48,3.74,0.06,2.12,0.8,0.56,ML2,0.76,0.77,0.81,0.36,3.42,0.07,2.24,0.64,0.35,ML3,0.73,0.74,0.66,0.49,2.87,0.08,2.67,0.87,0.5
NA,Ensino Superior,Engenharias,NA,31,all,0.85,0.85,0.92,0.31,5.75,0.04,2.3,0.6,0.29,ML1,0.79,0.79,0.8,0.48,3.74,0.06,2.12,0.8,0.56,ML2,0.76,0.77,0.81,0.36,3.42,0.07,2.24,0.64,0.35,ML3,0.73,0.74,0.66,0.49,2.87,0.08,2.67,0.87,0.5
NA,NA,Ciências da Saúde,NA,65,all,0.89,0.9,0.92,0.4,8.59,0.02,2.42,0.7,0.4,ML1,0.83,0.83,0.8,0.54,4.73,0.03,1.97,0.87,0.53,ML2,0.8,0.8,0.8,0.4,4.04,0.04,2.5,0.75,0.41,ML3,0.7,0.72,0.63,0.46,2.53,0.06,2.83,0.8,0.48
UFAL A.C. Simões,NA,Ciências da Saúde,NA,54,all,0.87,0.87,0.9,0.35,6.88,0.02,2.43,0.65,0.33,ML1,0.81,0.8,0.79,0.5,4.06,0.04,1.98,0.83,0.51,ML2,0.76,0.76,0.77,0.35,3.22,0.05,2.51,0.7,0.33,ML3,0.64,0.66,0.56,0.39,1.9,0.08,2.87,0.75,0.39
NA,Ensino Superior,Ciências da Saúde,NA,65,all,0.89,0.9,0.92,0.4,8.59,0.02,2.42,0.7,0.4,ML1,0.83,0.83,0.8,0.54,4.73,0.03,1.97,0.87,0.53,ML2,0.8,0.8,0.8,0.4,4.04,0.04,2.5,0.75,0.41,ML3,0.7,0.72,0.63,0.46,2.53,0.06,2.83,0.8,0.48
UFAL A.C. Simões,Ensino Superior,Ciências da Saúde,NA,54,all,0.87,0.87,0.9,0.35,6.88,0.02,2.43,0.65,0.33,ML1,0.81,0.8,0.79,0.5,4.06,0.04,1.98,0.83,0.51,ML2,0.76,0.76,0.77,0.35,3.22,0.05,2.51,0.7,0.33,ML3,0.64,0.66,0.56,0.39,1.9,0.08,2.87,0.75,0.39
NA,NA,NA,Formação continuada - Concluída,46,all,0.88,0.88,0.92,0.36,7.27,0.03,2.7,0.71,0.36,ML1,0.77,0.77,0.74,0.45,3.29,0.06,2.54,0.93,0.49,ML2,0.83,0.84,0.84,0.46,5.2,0.04,2.66,0.8,0.49,ML3,0.65,0.65,0.56,0.38,1.84,0.09,3.02,0.78,0.37
UFAL A.C. Simões,NA,NA,Formação continuada - Concluída,37,all,0.87,0.87,0.92,0.34,6.75,0.03,2.84,0.71,0.33,ML1,0.77,0.77,0.75,0.46,3.44,0.06,2.64,0.96,0.52,ML2,0.82,0.83,0.83,0.45,4.82,0.04,2.82,0.8,0.46,ML3,0.6,0.6,0.52,0.33,1.48,0.11,3.14,0.75,0.28
NA,Ensino Superior,NA,Formação continuada - Concluída,46,all,0.88,0.88,0.92,0.36,7.27,0.03,2.7,0.71,0.36,ML1,0.77,0.77,0.74,0.45,3.29,0.06,2.54,0.93,0.49,ML2,0.83,0.84,0.84,0.46,5.2,0.04,2.66,0.8,0.49,ML3,0.65,0.65,0.56,0.38,1.84,0.09,3.02,0.78,0.37
UFAL A.C. Simões,Ensino Superior,NA,Formação continuada - Concluída,37,all,0.87,0.87,0.92,0.34,6.75,0.03,2.84,0.71,0.33,ML1,0.77,0.77,0.75,0.46,3.44,0.06,2.64,0.96,0.52,ML2,0.82,0.83,0.83,0.45,4.82,0.04,2.82,0.8,0.46,ML3,0.6,0.6,0.52,0.33,1.48,0.11,3.14,0.75,0.28
